,source,target,value
0,Google,Search,1
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers,3
12,Extending Incentive Offers,US,3
13,David Beckham,US,3
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,ARKK,New York City,2
22,ARKK,Federal Reserve,2
0,TWTR,Twitter,2
1,TWTR,Tesla,2
2,Tesla,the Federal Reserve,3
3,Beijing,the Federal Reserve,2
4,Beijing,Washington,12
5,Tesla,Washington,3
6,Chinese,Tesla,6
7,Chinese,Shanghai,3
8,Shanghai,Tesla,13
9,China,Tesla,24
10,China,the Shanghai Gigafactory,3
11,China,Shanghai,11
12,CCP,China,5
13,CCP,Sino-American,3
14,Sino-American,the White House,2
15,National Security Strategy,the White House,3
16,China,National Security Strategy,3
17,Beijing,Tesla,4
18,American,Washington,3
19,American,Tesla,2
20,China,Washington,3
21,Biden,Tesla,2
22,Biden,China,3
23,China,NVDA,2
24,Apple (AAPL,NVDA,3
25,Apple (AAPL,Tesla,2
26,Sino-American,Tesla,7
27,China,Chinese,2
28,China,Xinhua Daily Telegraph,3
29,Tesla,Xinhua Daily Telegraph,3
30,CCP,Shanghai,3
31,Shanghai,Tesla’s Gigafactory,5
32,Beijing,Shanghai,3
33,Shanghai,Washington,2
34,Tesla,the White House,5
35,China,Tesla’s,5
36,Chinese,Tesla’s,3
37,Chinese,NIO (NIO,3
38,NIO (NIO,Nvidia’s,3
39,Nvidia’s,Samsung,2
40,China,Samsung,3
41,AI,Shanghai,2
42,AI,China,2
43,China,Sheffield Hallam University,3
44,Sheffield Hallam University,Tesla,3
45,Tesla,the Uyghur Forced Labor Prevention Act,3
46,the Senate Finance Committee,the Uyghur Forced Labor Prevention Act,2
47,Tesla,the Senate Finance Committee,3
48,China,Mexico,2
49,Fremont,Mexico,3
50,Fremont,TSMC,3
51,TSM,TSMC,3
52,Arizona,TSM,3
53,Arizona,China,2
54,China,Sino-American,3
55,Tesla,Twitter,5
56,Crimea,Tesla,2
57,Crimea,Russia,3
58,Russia,Taiwan,3
59,China,Taiwan,3
60,Tesla,Tesla’s,2
61,BlackSquare Capital,Tesla,1
62,BlackSquare Capital,Bohdan Kucheriavyi,3
63,BlackSquare Capital,He's/It's,2
0,EV,Tesla,1
1,EV,U.S.,1
2,Tesla,U.S.,2
3,Apple,Tesla,3
4,Apple,EV,2
5,EV,Volkswagen,2
6,Visual Capitalist's,Volkswagen,1
7,Marcus Lu,Visual Capitalist's,3
8,EPA,Marcus Lu,3
9,Automotive Trends Report,EPA,3
10,Automotive Trends Report,EV,1
11,EV,PHEV,3
12,Toyota,U.S.,3
13,EV,Toyota,3
14,EV,Jeep,2
15,Jeep,Ram,3
16,Carlos Tavares,Ram,2
17,Carlos Tavares,Volkswagen,1
18,Buzz,Volkswagen,1
19,Buzz,Microbus,3
20,Ford,Microbus,2
21,EV,Ford,3
22,EV,Mustang Mach-E,2
23,Ford,Mustang Mach-E,2
24,F-150 Lightning,Ford,3
25,F-150 Lightning,Rivian,1
26,Ford,Rivian,3
27,Ford,Zerohedge.com,2
28,Oilprice.com,Zerohedge.com,2
29,Oilprice.com,U.S.,3
30,China,U.S.,3
31,China,Congo,3
0,TSLA,Tesla Inc.,1
1,Investing.com,TSLA,4
2,Morgan Stanley,TSLA,2
3,Morgan Stanley,Tesla,7
4,Reuters,Tesla,1
5,Reuters,SA News SA News,2
6,CNN Business,SA News SA News,2
7,CNN Business,TrendSpider,2
8,TrendSpider,TrendSpider.com,3
9,Musk,TrendSpider,2
10,Tesla,TrendSpider,2
11,Musk,Tesla,3
12,Musk,SocialSentiment.io,2
13,RSI,SocialSentiment.io,2
14,MA Distance,RSI,3
15,MA Distance,TrendSpider,3
16,Shanghai,Tesla,3
17,Michael Burry,Shanghai,2
18,Alpha,Michael Burry,3
19,Alpha,Toyota Motor,3
20,Ford,Toyota Motor,3
21,Ford,Morgan Stanley,1
22,Adam Jonas,Morgan Stanley,1
23,Adam Jonas,CFA,3
24,CFA,Evan Silverberg,6
25,CFA,Tesla,3
26,EV,Tesla,7
27,EV,Porsche,2
28,Porsche,eFuels,3
29,China,eFuels,3
30,China,the United States,3
31,Tesla,the United States,3
32,Ford,Tesla,6
33,EV,General Motors,3
34,GM,General Motors,3
35,Ford,GM,3
36,EV,Ford,3
37,MS,Morgan Stanley,2
38,DCF,MS,2
39,DCF,Morgan Stanley,3
40,China,WACC,3
41,China,the International Monetary Fund,2
42,MS,the International Monetary Fund,1
43,MS,Tesla's Auto Business,3
44,Networks Services,Tesla's Auto Business,1
45,MS,Networks Services,3
46,MS,WACC,2
47,Morgan Stanley's,WACC,3
48,Morgan Stanley's,Tesla,1
49,FY2023,Tesla,4
50,SA,Tesla,9
51,EPS,SA,1
52,EPS,YCharts,5
53,EPS,FY2023 and FY2024,3
54,FY2023 and FY2024,Tesla,2
55,Elon,Tesla,5
56,Microsoft,Tesla,2
57,Alpha,Microsoft,3
58,Alpha,MSFT,9
59,MSFT,Tesla,3
60,Tesla,WACC,3
61,Musk,WACC,2
62,"Tesla, Inc.",U.S.,3
63,Beyond the Wall Investing,Singapore,1
64,BS,Singapore,1
65,BS,Finance,3
66,Finance,Initial Public Offerings,2
67,Initial Public Offerings,KNN,2
68,AI,KNN,2
69,AI,Ranked,1
70,Oakoff Investments,Ranked,2
0,Elon Musk,Tesla,1
1,Elon Musk,Zachary Kirkhorn,1
2,TSLA,Zachary Kirkhorn,2
3,TSLA,the US Securities and Exchange Commission,2
4,SEC,the US Securities and Exchange Commission,3
5,Kirkhorn,SEC,3
6,CFO,Kirkhorn,2
7,CFO,TSLA,3
8,Kirkhorn,TSLA,2
9,Kirkhorn,Kirkrhon,2
10,Kirkrhon,Tesla,2
11,EV,Tesla,3
12,CFO,EV,3
13,CFO,Tesla’s,1
14,Cybertruck,Tesla’s,2
15,Cybertruck,Project Highland,3
16,Project Highland,Tesla,2
17,Musk,Tesla,5
18,Porsche,Tesla China,2
19,Shanghai,Tesla China,3
20,Q4,Shanghai,2
0,Dow,the S&P 500's,2
1,Dow,Nasdaq,3
2,Nasdaq,Tesla,1
3,Tesla,the Zacks Consensus Estimate,1
4,Zacks Consensus Estimates,the Zacks Consensus Estimate,2
5,Tesla,Zacks Consensus Estimates,1
